75,479,63,63
52,1112,13,13
61,1949,21,21
86,1815,14,15
65,514,19,19
53,1059,22,22
74,1210,15,15
106,632,59,76
82,1843,31,31
125,1032,22,32
82,1338,42,42
99,450,12,13
21,41,21,21
13,829,26,35
114,659,44,44
126,547,15,15
120,1838,31,31
63,974,126,148
120,2264,23,23
88,612,73,73
112,518,23,23
110,962,40,40
39,221,35,35
98,761,51,51
74,2405,26,26
6,2021,13,13
59,796,24,24
35,133,20,20
26,2142,53,55
124,1313,23,23
54,839,29,29
33,2182,15,15
116,2252,40,41
70,1824,60,60
95,775,29,29
32,2319,17,17
41,1965,23,23
52,662,13,13
22,1839,23,23
117,1997,26,26
37,1709,20,20
90,741,26,26
32,342,30,32
91,1529,18,18
107,350,37,37
126,1451,19,25
54,66,27,27
99,934,17,17
42,686,47,47
65,107,34,39
114,1113,32,30
50,1225,11,11
84,1298,27,27
120,218,12,12
81,21,29,25
9,113,15,21
47,1618,14,14
111,2267,36,29
124,531,23,35
102,2094,24,22
56,1446,18,17
119,673,29,29
56,1638,10,10
53,94,92,114
119,1745,34,47
92,2306,29,29
70,1915,29,29
77,2023,11,14
91,1666,29,29
108,1351,21,21
79,2257,12,12
63,32,40,65
75,1028,25,25
7,1847,7,7
29,2334,48,48
9,2159,12,12
67,1186,34,34
103,1162,42,37
65,709,10,10
42,1299,41,38
91,19,26,26
58,2263,82,82
120,292,31,46
62,1543,16,16
86,1073,20,20
39,405,16,16
38,1753,18,18
43,1684,14,14
31,2025,41,41
10,1836,21,26
14,55,28,44
43,589,19,19
30,948,22,22
103,899,27,27
107,2219,20,18
74,954,123,276
12,1394,25,25
117,1387,37,45
97,85,78,81
60,560,34,34
67,908,32,32
64,325,11,11
22,2024,29,29
9,660,18,22
67,96,48,48
109,197,26,26
20,458,40,56
29,1895,26,26
125,332,16,16
110,828,30,30
116,888,8,8
30,1786,15,15
17,138,33,33
54,968,36,36
113,1776,12,12
86,1512,14,14
74,2248,68,68
35,1528,18,18
107,1496,57,86
101,525,41,41
79,167,47,47
11,403,10,10
129,1982,8,9
112,2021,12,12
105,2242,17,17
65,818,13,13
128,856,16,19
43,1150,31,31
115,2293,42,72
83,968,13,13
34,669,15,15
86,290,38,38
100,2268,42,42
113,765,13,13
27,172,22,22
76,2272,120,74
56,1390,32,32
117,866,25,25
79,2281,29,29
18,1833,37,38
119,433,18,17
75,2315,21,21
59,1395,30,30
78,2409,23,23
