55,546,44,71
38,1267,8,14
45,2220,14,23
62,2068,9,16
47,586,13,20
38,1206,15,24
54,1379,10,16
78,720,42,86
60,2100,22,34
91,1175,15,35
59,1524,29,47
72,513,8,14
16,47,14,23
9,945,18,38
83,750,31,49
92,624,10,16
88,2094,22,34
45,1109,91,167
88,2579,16,25
64,698,52,82
82,590,16,25
80,1096,28,44
29,252,24,39
72,867,36,57
54,2739,18,29
4,2303,9,14
43,907,16,26
25,151,13,21
19,2440,38,61
91,1496,16,25
40,956,20,32
24,2486,10,16
84,2566,29,46
51,2077,42,67
70,883,20,32
23,2642,11,18
30,2239,16,26
38,755,8,14
16,2095,15,25
85,2275,18,28
27,1947,14,22
65,844,17,28
23,389,21,35
66,1741,12,19
78,399,26,41
92,1653,13,27
39,76,19,30
72,1064,11,19
30,782,33,52
47,122,23,43
83,1267,22,33
36,1396,7,12
61,1479,19,30
87,248,7,13
59,24,20,27
7,129,10,23
34,1843,9,15
80,2583,25,32
91,605,16,39
74,2385,16,24
41,1648,12,18
87,767,20,32
41,1866,6,10
38,107,65,128
87,1988,24,53
67,2627,20,32
51,2182,20,32
56,2304,7,15
67,1898,20,32
79,1539,14,23
57,2571,7,12
46,37,28,74
54,1171,17,27
5,2104,4,7
21,2659,34,54
6,2459,7,13
49,1351,24,38
75,1324,30,41
47,807,6,11
31,1480,28,42
66,21,18,29
42,2578,58,92
88,332,22,51
45,1757,10,17
62,1222,13,22
28,461,11,17
28,1997,12,20
31,1918,9,15
23,2307,28,46
7,2091,15,29
10,62,20,49
31,671,13,21
21,1080,15,24
75,1025,19,30
78,2527,14,19
54,1086,89,313
9,1588,18,27
86,1580,26,51
71,97,56,91
43,638,23,38
49,1034,22,35
47,371,6,12
16,2306,20,32
6,752,13,24
49,109,34,53
79,224,18,29
14,521,29,63
21,2158,18,29
91,378,10,17
80,943,20,33
84,1011,5,9
22,2035,10,16
12,157,23,37
39,1103,25,40
82,2023,8,12
62,1722,9,15
54,2561,48,76
25,1740,12,19
78,1704,41,97
74,598,28,45
57,191,33,52
8,459,6,10
94,2258,4,9
81,2302,7,12
76,2554,11,19
48,932,8,13
93,975,11,21
31,1310,21,35
84,2611,30,81
61,1103,8,14
25,763,10,16
62,330,27,43
73,2583,30,47
82,872,9,14
19,196,15,24
55,2588,87,84
41,1583,22,35
85,987,17,28
58,2599,20,32
13,2088,26,42
87,494,12,18
55,2637,14,23
43,1589,20,33
57,2744,16,25
71,799,22,35
65,1797,10,17
30,1322,4,6
13,1373,26,59
93,1523,5,8
90,69,6,10
34,2087,32,52
32,390,15,24
39,2217,12,18
66,879,17,28
